Date,Open,High,Low,Close,Adj Close,Volume
2011-07-01,2.793000,2.828000,2.791000,2.821000,2.180471,3428895
2011-07-04,2.818000,2.865000,2.817000,2.855000,2.206751,5094846
2011-07-05,2.851000,2.896000,2.842000,2.880000,2.226075,3510677
2011-07-06,2.870000,2.881000,2.799000,2.805000,2.168104,5474681
2011-07-07,2.799000,2.817000,2.752000,2.773000,2.143370,17875797
2011-07-08,2.778000,2.809000,2.728000,2.736000,2.114771,6846359
2011-07-11,2.717000,2.757000,2.677000,2.684000,2.074578,5338037
2011-07-12,2.642000,2.664000,2.581000,2.630000,2.032839,8753373
2011-07-13,2.561000,2.666000,2.561000,2.646000,2.045206,5713914
2011-07-14,2.620000,2.649000,2.611000,2.623000,2.027428,2433937
2011-07-15,2.662000,2.685000,2.590000,2.590000,2.001921,2783253
2011-07-18,2.582000,2.613000,2.539000,2.544000,1.966366,3457715
2011-07-19,2.540000,2.595000,2.540000,2.588000,2.000375,2133224
2011-07-20,2.610000,2.656000,2.600000,2.637000,2.038250,2165588
2011-07-21,2.670000,2.713000,2.630000,2.697000,2.084626,2887829
2011-07-22,2.733000,2.785000,2.719000,2.756000,2.130230,2433929
2011-07-25,2.741000,2.748000,2.705000,2.732000,2.111679,1164956
2011-07-26,2.730000,2.740000,2.690000,2.719000,2.101631,4474180
2011-07-27,2.690000,2.722000,2.640000,2.676000,2.068394,3080477
2011-07-28,2.640000,2.666000,2.616000,2.656000,2.052936,4974894
2011-07-29,2.603000,2.727000,2.603000,2.703000,2.089264,3316737
2011-08-01,2.621000,2.741000,2.605000,2.624000,2.028202,3508496
2011-08-02,2.586000,2.637000,2.528000,2.528000,1.953999,5353363
2011-08-03,2.500000,2.543000,2.420000,2.437000,1.883661,6627177
2011-08-04,2.540000,2.540000,2.261000,2.263000,1.749169,7437099
2011-08-05,2.180000,2.329000,2.168000,2.296000,1.774676,7269487
2011-08-08,2.276000,2.324000,2.160000,2.160000,1.669556,5979265
2011-08-09,2.165000,2.229000,2.043000,2.120000,1.638638,8554890
2011-08-10,2.163000,2.190000,2.012000,2.023000,1.563663,5815794
2011-08-11,2.100000,2.126000,2.023000,2.104000,1.626271,5811861
2011-08-12,2.120000,2.194000,2.073000,2.194000,1.695836,5705495
2011-08-15,2.200000,2.200000,2.139000,2.158000,1.668010,1872435
2011-08-16,2.158000,2.164000,2.116000,2.155000,1.665691,2945003
2011-08-17,2.167000,2.173000,2.122000,2.155000,1.665691,2119793
2011-08-18,2.123000,2.162000,2.045000,2.067000,1.597672,4087585
2011-08-19,2.048000,2.054000,1.914000,1.924000,1.487142,10646606
2011-08-22,1.924000,1.976000,1.910000,1.914000,1.479412,2622433
2011-08-23,1.930000,1.948000,1.875000,1.879000,1.452359,5335637
2011-08-24,1.904000,1.912000,1.853000,1.885000,1.456997,2890270
2011-08-25,1.919000,1.924000,1.877000,1.887000,1.458543,5814583
2011-08-26,1.898000,1.898000,1.833000,1.855000,1.433809,6074087
2011-08-29,1.890000,1.891000,1.860000,1.891000,1.461635,2080098
2011-08-30,1.910000,1.928000,1.897000,1.916000,1.480958,7200550
2011-08-31,1.929000,1.988000,1.920000,1.975000,1.526562,5714196
2011-09-01,1.991000,2.007000,1.960000,2.000000,1.545885,11786120
2011-09-02,1.972000,1.972000,1.901000,1.913000,1.478639,2433013
2011-09-05,1.895000,1.895000,1.803000,1.815000,1.402891,2643678
2011-09-06,1.800000,1.844000,1.757000,1.770000,1.368108,4079812
2011-09-07,1.839000,1.848000,1.800000,1.838000,1.420668,3071532
2011-09-08,1.849000,1.883000,1.831000,1.874000,1.448494,4112820
2011-09-09,1.847000,1.859000,1.759000,1.760000,1.360379,4124306
2011-09-12,1.700000,1.742000,1.691000,1.721000,1.330234,5331516
2011-09-13,1.749000,1.749000,1.682000,1.689000,1.305500,4171713
2011-09-14,1.689000,1.778000,1.689000,1.777000,1.373519,4774173
2011-09-15,1.780000,1.810000,1.772000,1.784000,1.378930,3871249
2011-09-16,1.806000,1.825000,1.775000,1.823000,1.409075,6471628
2011-09-19,1.780000,1.799000,1.752000,1.770000,1.368108,2231811
2011-09-20,1.771000,1.829000,1.712000,1.716000,1.326370,8491481
2011-09-21,1.729000,1.756000,1.700000,1.709000,1.320959,3925727
2011-09-22,1.668000,1.675000,1.615000,1.615000,1.248302,12278713
2011-09-23,1.640000,1.676000,1.579000,1.621000,1.252940,7866138
2011-09-26,1.580000,1.706000,1.580000,1.690000,1.306273,5544390
2011-09-27,1.718000,1.800000,1.716000,1.785000,1.379703,4953826
2011-09-28,1.750000,1.786000,1.724000,1.771000,1.368882,5225505
2011-09-29,1.780000,1.841000,1.760000,1.841000,1.422987,4937822
2011-09-30,1.855000,1.855000,1.755000,1.780000,1.375838,3592999
2011-10-03,1.744000,1.803000,1.725000,1.801000,1.392070,2207140
2011-10-04,1.761000,1.761000,1.686000,1.739000,1.344147,3868982
2011-10-05,1.770000,1.828000,1.749000,1.800000,1.391297,4231455
2011-10-06,1.829000,1.829000,1.780000,1.818000,1.405210,7436313
2011-10-07,1.838000,1.880000,1.817000,1.830000,1.414485,4237806
2011-10-10,1.825000,1.872000,1.822000,1.860000,1.437673,2888704
2011-10-11,1.870000,1.870000,1.833000,1.860000,1.437673,2946156
2011-10-12,1.840000,1.900000,1.824000,1.882000,1.454678,3191709
2011-10-13,1.920000,1.960000,1.899000,1.918000,1.482504,5200367
2011-10-14,1.927000,1.939000,1.894000,1.897000,1.466272,2491200
2011-10-17,1.930000,1.941000,1.856000,1.870000,1.445403,2600333
2011-10-18,1.840000,1.870000,1.832000,1.860000,1.437673,3125519
2011-10-19,1.872000,1.932000,1.862000,1.870000,1.445403,4382288
2011-10-20,1.850000,1.889000,1.830000,1.830000,1.414485,3405674
2011-10-21,1.841000,1.900000,1.838000,1.884000,1.456224,3475987
2011-10-24,1.900000,1.910000,1.881000,1.881000,1.453905,2119392
2011-10-25,1.884000,1.909000,1.870000,1.902000,1.470137,2595594
2011-10-26,1.900000,1.930000,1.883000,1.900000,1.468591,1955705
2011-10-27,1.930000,2.055000,1.924000,2.040000,1.576803,5958437
2011-10-28,2.068000,2.068000,1.981000,1.989000,1.537383,2951525
2011-10-31,1.968000,1.996000,1.918000,1.918000,1.482504,4605146
2011-11-01,1.890000,1.910000,1.794000,1.805000,1.395162,5263609
2011-11-02,1.845000,1.883000,1.829000,1.874000,1.448494,3700087
2011-11-03,1.852000,1.960000,1.839000,1.951000,1.508011,4214580
2011-11-04,1.950000,1.951000,1.832000,1.833000,1.416804,5815229
2011-11-07,1.840000,1.840000,1.735000,1.740000,1.344920,6058369
2011-11-08,1.749000,1.776000,1.707000,1.711000,1.322505,5267478
2011-11-09,1.757000,1.758000,1.653000,1.667000,1.288495,4250423
2011-11-10,1.650000,1.682000,1.632000,1.655000,1.279220,2749410
2011-11-11,1.655000,1.758000,1.655000,1.733000,1.339510,5660291
2011-11-14,1.767000,1.767000,1.714000,1.730000,1.337191,1735398
2011-11-15,1.729000,1.729000,1.682000,1.697000,1.311684,2760539
2011-11-16,1.690000,1.725000,1.670000,1.670000,1.290814,3929423
2011-11-17,1.660000,1.702000,1.639000,1.642000,1.269172,4424761
2011-11-18,1.642000,1.685000,1.637000,1.676000,1.295452,5230153
2011-11-21,1.683000,1.688000,1.610000,1.610000,1.244438,2464557
2011-11-22,1.650000,1.650000,1.511000,1.530000,1.182602,5099819
2011-11-23,1.528000,1.568000,1.522000,1.546000,1.194969,4202613
2011-11-24,1.560000,1.636000,1.558000,1.627000,1.257578,5073171
2011-11-25,1.627000,1.663000,1.606000,1.650000,1.275355,2311378
2011-11-28,1.700000,1.700000,1.650000,1.680000,1.298544,2481680
