"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 06, 2011","18.10","17.76","18.34","17.61","235.34K","2.03%"
"Jun 03, 2011","17.74","17.60","18.18","17.60","159.20K","-0.22%"
"Jun 02, 2011","17.78","17.85","18.04","17.75","71.12K","-0.95%"
"Jun 01, 2011","17.95","18.20","18.20","17.86","215.78K","-0.39%"
"May 31, 2011","18.02","17.65","18.20","17.65","781.84K","0.73%"
"May 30, 2011","17.89","17.90","18.25","17.85","64.50K","0.17%"
"May 27, 2011","17.86","18.20","18.23","17.70","418.38K","-1.16%"
"May 26, 2011","18.07","18.00","18.49","18.00","133.82K","-0.50%"
"May 25, 2011","18.16","17.51","18.52","17.51","3.30M","-0.22%"
"May 24, 2011","18.20","18.16","18.52","18.10","1.25M","-0.38%"
"May 23, 2011","18.27","19.22","19.22","18.20","672.76K","-5.04%"
"May 20, 2011","19.24","18.24","20.95","18.24","5.35M","9.01%"
"May 19, 2011","17.65","17.50","17.89","17.45","390.06K","0.46%"
"May 18, 2011","17.57","17.18","17.75","17.18","132.64K","-0.62%"
"May 17, 2011","17.68","17.52","17.99","17.50","353.32K","-0.67%"
"May 16, 2011","17.80","17.27","18.25","17.27","571.80K","-0.73%"
"May 13, 2011","17.93","17.50","18.20","17.50","378.10K","1.64%"
"May 12, 2011","17.64","18.08","18.80","17.50","1.07M","-5.67%"
"May 11, 2011","18.70","19.07","19.27","18.36","179.64K","-1.99%"
"May 10, 2011","19.08","19.50","19.50","18.88","1.43M","-1.80%"
"May 09, 2011","19.43","19.15","19.69","19.10","2.32M","2.53%"
"May 06, 2011","18.95","18.70","19.10","18.61","299.54K","1.50%"
"May 05, 2011","18.67","18.90","19.12","18.60","215.06K","-1.53%"
"May 04, 2011","18.96","19.00","19.07","18.77","169.08K","-0.47%"
"May 03, 2011","19.05","18.87","19.34","18.87","267.20K","-0.78%"
"May 02, 2011","19.20","19.15","19.80","19.01","346.74K","1.37%"
"Apr 29, 2011","18.94","18.90","19.00","18.80","64.78K","0.00%"
"Apr 28, 2011","18.94","18.82","19.20","18.82","240.16K","-0.42%"
"Apr 27, 2011","19.02","19.25","19.40","18.91","277.02K","-0.26%"
"Apr 26, 2011","19.07","18.99","19.40","18.91","754.22K","1.22%"
"Apr 25, 2011","18.84","18.14","19.17","18.06","1.30M","3.86%"
"Apr 21, 2011","18.14","18.10","18.55","17.95","203.32K","-0.17%"
"Apr 20, 2011","18.17","17.91","18.44","17.91","84.04K","-0.33%"
"Apr 19, 2011","18.23","18.25","18.30","18.00","262.30K","-0.44%"
"Apr 18, 2011","18.31","18.65","18.65","18.30","115.30K","-0.44%"
"Apr 15, 2011","18.39","18.60","18.60","18.27","135.52K","22.45%"
"Dec 24, 2010","15.02","15.07","15.25","14.70","1.20M","-0.94%"
"Dec 23, 2010","15.16","15.30","15.40","15.08","553.02K","0.97%"
"Dec 22, 2010","15.02","14.52","15.19","14.49","1.67M","3.91%"
"Dec 21, 2010","14.45","14.05","14.55","14.05","1.79M","3.32%"
"Dec 20, 2010","13.98","13.50","14.05","13.40","1.76M","3.50%"
"Dec 16, 2010","13.51","13.60","13.74","13.40","1.06M","-0.10%"
"Dec 15, 2010","13.52","12.75","13.98","12.65","7.64M","5.87%"
"Dec 14, 2010","12.77","12.10","13.30","11.15","29.02M","-4.89%"
"Dec 13, 2010","13.43","13.70","13.77","13.15","1.19M","-3.78%"
"Dec 10, 2010","13.96","13.52","14.12","13.25","733.56K","3.69%"
"Dec 09, 2010","13.46","14.75","14.75","13.25","2.37M","-8.13%"
"Dec 08, 2010","14.65","14.80","14.80","14.40","1.37M","-1.89%"
"Dec 07, 2010","14.94","15.06","15.19","14.45","1.96M","1.26%"
"Dec 06, 2010","14.75","15.25","15.45","13.15","8.29M","-1.82%"
"Dec 03, 2010","15.02","15.20","15.30","14.90","568.92K","-1.94%"
"Dec 02, 2010","15.32","15.09","15.60","14.96","751.24K","3.35%"
"Dec 01, 2010","14.82","14.85","14.90","14.60","341.66K","1.49%"
"Nov 30, 2010","14.61","14.70","14.75","14.45","285.30K","-0.98%"
"Nov 29, 2010","14.75","13.80","15.00","13.77","1.72M","7.01%"
"Nov 26, 2010","13.78","14.00","14.20","13.35","1.41M","-1.15%"
"Nov 25, 2010","13.94","14.77","14.77","13.88","765.24K","-3.95%"
"Nov 24, 2010","14.52","14.90","15.05","14.31","1.19M","-2.17%"
"Nov 23, 2010","14.84","15.38","15.44","13.80","1.32M","-4.72%"
"Nov 22, 2010","15.57","15.70","15.80","15.48","646.42K","0.74%"
"Nov 19, 2010","15.46","16.00","16.30","15.30","741.66K","-3.75%"
"Nov 18, 2010","16.06","16.25","16.75","13.90","4.86M","-0.73%"
"Nov 16, 2010","16.18","16.80","16.84","16.01","877.18K","-2.21%"
"Nov 15, 2010","16.55","16.25","16.65","15.80","477.52K","0.87%"
"Nov 12, 2010","16.40","16.55","16.79","16.15","1.11M","-0.73%"
"Nov 11, 2010","16.52","16.46","16.92","16.42","1.49M","0.54%"
"Nov 10, 2010","16.43","16.35","16.53","16.25","660.54K","0.66%"
"Nov 09, 2010","16.33","16.25","16.60","16.20","1.25M","0.33%"
"Nov 08, 2010","16.27","16.50","16.50","16.05","1.02M","-1.39%"
"Nov 05, 2010","16.50","16.40","16.75","16.27","1.99M","1.30%"
"Nov 04, 2010","16.29","16.05","16.35","16.00","1.75M","2.09%"
"Nov 03, 2010","15.96","15.76","16.18","15.75","2.86M","1.46%"
"Nov 02, 2010","15.73","15.32","15.90","15.10","2.77M","3.01%"
"Nov 01, 2010","15.27","15.25","15.49","15.20","986.34K","0.97%"
"Oct 29, 2010","15.12","15.40","15.40","15.05","3.34M","-1.80%"
"Oct 28, 2010","15.40","15.27","15.50","15.02","2.37M","1.52%"
"Oct 27, 2010","15.17","15.19","15.65","14.90","4.19M","-0.26%"
"Oct 26, 2010","15.21","15.50","15.50","14.94","1.81M","-1.06%"
"Oct 25, 2010","15.37","15.22","15.70","15.05","6.44M","3.21%"
"Oct 22, 2010","14.90","14.00","14.95","14.00","8.41M","6.41%"
"Oct 21, 2010","14.00","13.60","14.09","13.60","4.70M","2.89%"
"Oct 20, 2010","13.60","13.25","13.85","13.15","4.20M","3.24%"
"Oct 19, 2010","13.18","13.19","13.47","12.88","3.32M","0.81%"
"Oct 18, 2010","13.07","13.55","13.55","12.75","3.25M","-2.21%"
"Oct 15, 2010","13.37","12.25","13.69","12.13","27.77M","9.12%"
"Oct 14, 2010","12.25","12.35","12.47","12.17","1.07M","-0.99%"
"Oct 13, 2010","12.37","12.15","12.64","12.15","1.01M","0.55%"
"Oct 12, 2010","12.31","12.35","12.45","12.26","380.32K","-0.16%"
"Oct 11, 2010","12.32","12.35","12.57","12.11","1.15M","-0.08%"
"Oct 08, 2010","12.34","12.42","12.69","12.30","1.19M","-0.68%"
"Oct 07, 2010","12.42","13.25","13.25","12.32","3.73M","-1.29%"
"Oct 06, 2010","12.58","12.26","12.85","12.22","7.30M","3.17%"
"Oct 05, 2010","12.19","12.25","12.45","12.13","1.50M","0.21%"
"Oct 04, 2010","12.17","12.18","12.48","11.60","1.98M","0.70%"
"Oct 01, 2010","12.09","11.98","12.43","11.95","3.25M","1.67%"
"Sep 30, 2010","11.89","11.44","12.59","11.30","16.16M","5.15%"
"Sep 29, 2010","11.31","11.48","11.65","11.23","985.94K","-2.01%"
"Sep 28, 2010","11.54","11.50","11.63","11.50","424.20K","0.00%"
"Sep 27, 2010","11.54","11.70","11.71","11.48","553.82K","-0.53%"
"Sep 24, 2010","11.60","11.55","11.79","11.47","2.15M","0.45%"
"Sep 23, 2010","11.55","11.64","11.65","11.42","722.06K","0.00%"
"Sep 22, 2010","11.55","11.60","11.75","11.45","1.28M","-0.15%"
"Sep 21, 2010","11.57","11.60","11.85","11.45","3.49M","0.00%"
"Sep 20, 2010","11.57","11.70","11.95","11.45","1.34M","-0.47%"
"Sep 17, 2010","11.63","11.60","11.98","11.60","2.06M","0.78%"
"Sep 16, 2010","11.53","11.98","12.05","11.41","4.47M","-3.08%"
"Sep 15, 2010","11.90","12.50","12.75","11.80","6.46M","-4.82%"
"Sep 14, 2010","12.51","11.47","12.90","11.00","31.68M","9.91%"
"Sep 13, 2010","11.38","11.45","11.55","11.25","4.40M","2.54%"
"Sep 09, 2010","11.10","10.57","11.20","10.45","5.91M","6.99%"
"Sep 08, 2010","10.37","10.00","10.69","9.88","6.39M","4.29%"
"Sep 07, 2010","9.94","9.85","10.00","9.82","6.52M","2.24%"
"Sep 06, 2010","9.73","9.80","10.00","9.68","1.44M","-0.36%"
"Sep 03, 2010","9.76","9.72","9.84","9.68","273.74K","0.81%"
"Sep 02, 2010","9.68","9.81","9.84","9.61","555.08K","-0.80%"
"Sep 01, 2010","9.76","9.82","9.99","9.68","1.03M","0.41%"
"Aug 31, 2010","9.72","9.43","10.03","9.43","6.66M","-0.18%"
"Aug 30, 2010","9.74","9.95","9.95","9.68","679.66K","-0.43%"
"Aug 27, 2010","9.78","10.00","10.15","9.75","378.00K","-2.59%"
"Aug 26, 2010","10.04","10.18","10.24","9.95","1.40M","0.98%"
"Aug 25, 2010","9.94","9.45","10.10","9.45","2.05M","4.19%"
"Aug 24, 2010","9.54","9.47","9.65","9.21","1.05M","2.87%"
"Aug 23, 2010","9.28","9.40","9.50","9.26","308.28K","-0.99%"
"Aug 20, 2010","9.37","9.61","9.62","9.30","376.14K","-1.49%"
"Aug 19, 2010","9.51","9.28","9.68","9.28","931.08K","2.50%"
"Aug 18, 2010","9.28","9.55","9.59","9.21","643.86K","-2.06%"
"Aug 17, 2010","9.48","9.70","9.70","9.40","1.01M","-0.42%"
"Aug 16, 2010","9.52","9.85","9.85","9.45","1.84M","-1.38%"
"Aug 13, 2010","9.65","9.67","9.95","9.50","1.57M","-0.21%"
"Aug 12, 2010","9.67","9.95","9.95","9.60","1.46M","-2.05%"
"Aug 11, 2010","9.87","10.20","10.50","9.80","941.84K","-3.42%"
"Aug 10, 2010","10.22","10.44","10.75","10.15","2.81M","-1.32%"
"Aug 09, 2010","10.36","10.30","10.59","10.25","885.78K","2.21%"
"Aug 06, 2010","10.13","10.16","10.35","10.06","1.83M","-0.78%"
"Aug 05, 2010","10.21","9.99","10.40","9.99","2.08M","3.08%"
"Aug 04, 2010","9.91","9.75","10.10","9.75","714.10K","1.24%"
"Aug 03, 2010","9.79","10.00","10.00","9.75","134.72K","-0.66%"
"Aug 02, 2010","9.85","9.76","9.94","9.76","253.08K","0.50%"
"Jul 30, 2010","9.80","9.95","9.95","9.75","140.42K","-0.48%"
"Jul 29, 2010","9.85","9.75","9.99","9.75","263.98K","0.82%"
"Jul 28, 2010","9.77","9.90","9.98","9.75","151.76K","-2.20%"
"Jul 27, 2010","9.99","10.10","10.10","9.90","435.40K","-0.12%"
"Jul 26, 2010","10.00","10.08","10.10","9.70","660.32K","-0.33%"
"Jul 23, 2010","10.03","10.25","10.26","10.00","669.50K","-1.15%"
"Jul 22, 2010","10.15","10.25","10.39","10.08","784.06K","0.37%"
"Jul 21, 2010","10.11","10.20","10.30","9.71","2.19M","0.40%"
"Jul 20, 2010","10.07","10.23","10.29","10.00","1.72M","-0.35%"
"Jul 19, 2010","10.11","10.19","10.31","10.06","511.20K","-1.05%"
"Jul 16, 2010","10.22","10.30","10.44","10.15","385.40K","-0.50%"
"Jul 15, 2010","10.27","10.45","10.45","10.20","534.68K","-0.92%"
"Jul 14, 2010","10.36","10.65","10.67","10.30","1.93M","-0.97%"
"Jul 13, 2010","10.47","10.15","10.50","9.98","9.24M","2.05%"
"Jul 12, 2010","10.26","10.60","10.84","10.20","1.77M","-3.73%"
"Jul 09, 2010","10.65","10.80","10.95","10.58","718.56K","-1.14%"
"Jul 08, 2010","10.77","10.90","11.04","10.75","577.76K","-0.07%"
"Jul 07, 2010","10.78","10.93","11.19","10.66","726.62K","-1.09%"
"Jul 06, 2010","10.90","11.18","11.20","10.85","1.13M","-1.77%"
"Jul 05, 2010","11.10","10.96","11.20","10.84","767.48K","2.79%"
"Jul 02, 2010","10.80","10.31","10.84","10.23","1.62M","4.62%"
"Jul 01, 2010","10.32","10.40","10.47","10.27","363.96K","-1.83%"
"Jun 30, 2010","10.51","10.30","10.63","10.30","1.43M","-1.16%"
"Jun 29, 2010","10.64","10.87","10.88","10.41","916.42K","-1.56%"
"Jun 28, 2010","10.80","10.52","10.99","10.52","2.03M","1.85%"
"Jun 25, 2010","10.61","10.67","10.95","10.55","2.52M","-1.10%"
"Jun 24, 2010","10.73","9.90","10.80","9.90","3.26M","4.23%"
"Jun 23, 2010","10.29","10.06","10.43","9.85","4.29M","3.28%"
"Jun 22, 2010","9.96","10.02","10.02","9.53","1.57M","4.40%"
"Jun 21, 2010","9.54","9.06","9.54","9.06","245.82K","5.01%"
"Jun 18, 2010","9.09","9.05","9.45","9.05","822.32K","-3.34%"
"Jun 17, 2010","9.40","9.55","9.83","9.35","898.84K","-3.62%"
"Jun 16, 2010","9.76","9.76","10.25","9.65","1.21M","-3.43%"
"Jun 15, 2010","10.10","9.63","10.20","9.63","1.08M","0.62%"
"Jun 14, 2010","10.04","9.74","10.15","9.74","2.71M","3.45%"
"Jun 11, 2010","9.70","9.92","9.92","9.52","2.53M","2.73%"
"Jun 10, 2010","9.45","8.90","9.45","8.90","756.44K","4.99%"
"Jun 09, 2010","9.00","8.29","9.07","8.29","708.04K","3.13%"
"Jun 08, 2010","8.73","8.46","8.81","8.46","990.22K","3.19%"
"Jun 07, 2010","8.45","8.08","8.55","8.07","1.07M","-0.41%"
"Jun 04, 2010","8.49","7.96","8.54","7.96","575.30K","1.77%"
"Jun 03, 2010","8.34","8.49","8.54","8.25","495.68K","1.21%"
"Jun 02, 2010","8.24","8.10","8.25","8.00","659.82K","2.07%"
"Jun 01, 2010","8.07","7.84","8.47","7.84","1.01M","-2.03%"
"May 31, 2010","8.24","8.10","8.26","8.10","1.16M","4.83%"
"May 28, 2010","7.86","7.70","7.86","7.57","366.00K","5.01%"
"May 27, 2010","7.49","7.60","7.65","7.25","656.84K","1.04%"
"May 26, 2010","7.41","6.75","7.44","6.75","1.12M","4.63%"
"May 25, 2010","7.08","7.20","7.41","7.08","628.28K","-5.00%"
"May 24, 2010","7.45","6.95","7.53","6.95","999.24K","3.33%"
"May 21, 2010","7.22","6.60","7.22","6.53","1.31M","5.02%"
"May 20, 2010","6.87","7.00","7.35","6.80","594.34K","-3.98%"
"May 19, 2010","7.16","7.15","7.47","7.15","999.16K","-4.92%"
"May 18, 2010","7.53","7.20","7.64","7.20","962.18K","3.37%"
"May 17, 2010","7.28","7.25","7.45","7.03","587.22K","-1.58%"
"May 14, 2010","7.40","7.45","7.60","7.16","576.04K","-0.55%"
"May 13, 2010","7.44","7.70","7.90","7.30","282.00K","-2.73%"
"May 12, 2010","7.65","7.80","8.20","7.60","1.15M","-4.38%"
"May 11, 2010","8.00","7.95","8.25","7.90","239.78K","-2.71%"
"May 10, 2010","8.22","8.06","8.40","8.06","315.36K","1.92%"
"May 07, 2010","8.06","8.15","8.35","8.02","895.14K","-4.52%"
"May 06, 2010","8.45","7.85","8.47","7.85","1.03M","4.74%"
"May 05, 2010","8.06","7.51","8.20","7.51","545.04K","2.24%"
"May 04, 2010","7.89","7.60","8.07","7.60","922.82K","0.93%"
"May 03, 2010","7.82","8.15","8.15","7.78","616.78K","-4.56%"
"Apr 30, 2010","8.19","8.13","8.70","8.13","606.48K","-4.23%"
"Apr 29, 2010","8.55","8.54","8.75","8.50","442.48K","0.15%"
"Apr 28, 2010","8.54","8.31","8.65","8.26","1.38M","-1.82%"
"Apr 27, 2010","8.69","8.55","8.85","8.31","2.02M","-0.54%"
"Apr 26, 2010","8.74","8.50","8.75","8.50","2.15M","4.88%"
"Apr 23, 2010","8.34","7.75","8.35","7.75","1.86M","4.82%"
"Apr 22, 2010","7.95","7.51","7.96","7.50","2.40M","4.95%"
"Apr 21, 2010","7.58","7.40","7.65","7.40","1.01M","3.41%"
