"Date","Price","Open","High","Low","Change %"
"Dec 03, 2020","33.883","33.883","33.883","33.883","0.02%"
"Dec 02, 2020","33.876","33.876","33.876","33.876","-0.01%"
"Dec 01, 2020","33.880","33.880","33.880","33.880","0.01%"
"Nov 30, 2020","33.877","33.877","33.877","33.877","0.00%"
"Nov 27, 2020","33.877","33.877","33.877","33.877","-0.01%"
"Nov 26, 2020","33.879","33.879","33.879","33.879","0.10%"
"Nov 25, 2020","33.845","33.845","33.845","33.845","0.06%"
"Nov 24, 2020","33.826","33.826","33.826","33.826","0.05%"
"Nov 23, 2020","33.807","33.807","33.807","33.807","0.05%"
"Nov 20, 2020","33.790","33.790","33.790","33.790","0.08%"
"Nov 19, 2020","33.764","33.764","33.764","33.764","0.08%"
"Nov 18, 2020","33.738","33.738","33.738","33.738","0.02%"
"Nov 17, 2020","33.732","33.732","33.732","33.732","0.06%"
"Nov 16, 2020","33.711","33.711","33.711","33.711","0.00%"
"Nov 13, 2020","33.711","33.711","33.711","33.711","0.05%"
"Nov 12, 2020","33.693","33.693","33.693","33.693","0.03%"
"Nov 11, 2020","33.685","33.685","33.685","33.685","0.02%"
"Nov 10, 2020","33.678","33.678","33.678","33.678","-0.01%"
"Nov 09, 2020","33.680","33.680","33.680","33.680","0.01%"
"Nov 06, 2020","33.677","33.677","33.677","33.677","0.04%"
"Nov 05, 2020","33.662","33.662","33.662","33.662","0.07%"
"Nov 04, 2020","33.638","33.638","33.638","33.638","0.05%"
"Nov 03, 2020","33.622","33.622","33.622","33.622","0.00%"
"Nov 02, 2020","33.621","33.621","33.621","33.621","0.04%"
"Oct 30, 2020","33.607","33.607","33.607","33.607","0.00%"
"Oct 29, 2020","33.607","33.607","33.607","33.607","-0.02%"
"Oct 28, 2020","33.614","33.614","33.614","33.614","0.00%"
"Oct 27, 2020","33.613","33.613","33.613","33.613","0.01%"
"Oct 26, 2020","33.609","33.609","33.609","33.609","0.07%"
"Oct 23, 2020","33.586","33.586","33.586","33.586","0.07%"
"Oct 22, 2020","33.561","33.561","33.561","33.561","-0.01%"
"Oct 21, 2020","33.564","33.564","33.564","33.564","0.01%"
"Oct 20, 2020","33.562","33.562","33.562","33.562","0.07%"
"Oct 19, 2020","33.538","33.538","33.538","33.538","0.02%"
"Oct 16, 2020","33.532","33.532","33.532","33.532","-0.02%"
"Oct 15, 2020","33.540","33.540","33.540","33.540","0.06%"
"Oct 14, 2020","33.521","33.521","33.521","33.521","0.05%"
"Oct 13, 2020","33.506","33.506","33.506","33.506","0.06%"
"Oct 12, 2020","33.486","33.486","33.486","33.486","0.08%"
"Oct 09, 2020","33.458","33.458","33.458","33.458","0.25%"
"Oct 08, 2020","33.374","33.374","33.374","33.374","0.04%"
"Oct 07, 2020","33.360","33.360","33.360","33.360","0.05%"
"Oct 06, 2020","33.344","33.344","33.344","33.344","0.02%"
"Oct 05, 2020","33.337","33.337","33.337","33.337","0.08%"
"Oct 02, 2020","33.310","33.310","33.310","33.310","0.00%"
"Oct 01, 2020","33.310","33.310","33.310","33.310","0.08%"
"Sep 30, 2020","33.282","33.282","33.282","33.282","0.06%"
"Sep 29, 2020","33.261","33.261","33.261","33.261","0.04%"
"Sep 28, 2020","33.249","33.249","33.249","33.249","0.01%"
"Sep 25, 2020","33.246","33.246","33.246","33.246","-0.02%"
"Sep 24, 2020","33.254","33.254","33.254","33.254","0.00%"
"Sep 23, 2020","33.253","33.253","33.253","33.253","0.03%"
"Sep 22, 2020","33.244","33.244","33.244","33.244","0.04%"
"Sep 21, 2020","33.231","33.231","33.231","33.231","0.05%"
"Sep 18, 2020","33.214","33.214","33.214","33.214","0.05%"
"Sep 17, 2020","33.199","33.199","33.199","33.199","-0.02%"
"Sep 16, 2020","33.205","33.205","33.205","33.205","0.06%"
"Sep 15, 2020","33.184","33.184","33.184","33.184","0.01%"
"Sep 14, 2020","33.180","33.180","33.180","33.180","0.04%"
"Sep 11, 2020","33.165","33.165","33.165","33.165","-0.01%"
"Sep 10, 2020","33.168","33.168","33.168","33.168","-0.03%"
"Sep 09, 2020","33.177","33.177","33.177","33.177","0.03%"
"Sep 08, 2020","33.168","33.168","33.168","33.168","-0.16%"
"Sep 07, 2020","33.221","33.221","33.221","33.221","-0.09%"
"Sep 04, 2020","33.251","33.251","33.251","33.251","-0.02%"
"Sep 03, 2020","33.256","33.256","33.256","33.256","0.06%"
"Sep 02, 2020","33.236","33.236","33.236","33.236","0.04%"
"Sep 01, 2020","33.221","33.221","33.221","33.221","0.29%"
"Aug 31, 2020","33.124","33.124","33.124","33.124","0.21%"
"Aug 28, 2020","33.053","33.053","33.053","33.053","0.03%"
"Aug 27, 2020","33.044","33.044","33.044","33.044","0.15%"
"Aug 26, 2020","32.996","32.996","32.996","32.996","-0.05%"
"Aug 25, 2020","33.011","33.011","33.011","33.011","0.08%"
"Aug 24, 2020","32.984","32.984","32.984","32.984","-0.07%"
"Aug 21, 2020","33.005","33.005","33.005","33.005","-0.20%"
"Aug 20, 2020","33.072","33.072","33.072","33.072","0.04%"
"Aug 19, 2020","33.059","33.059","33.059","33.059","-0.00%"
"Aug 18, 2020","33.060","33.060","33.060","33.060","0.00%"
"Aug 17, 2020","33.059","33.059","33.059","33.059","0.03%"
"Aug 14, 2020","33.049","33.049","33.049","33.049","-0.01%"
"Aug 13, 2020","33.054","33.054","33.054","33.054","0.05%"
"Aug 12, 2020","33.038","33.038","33.038","33.038","-0.01%"
"Aug 11, 2020","33.042","33.042","33.042","33.042","0.03%"
"Aug 10, 2020","33.031","33.031","33.031","33.031","0.03%"
"Aug 07, 2020","33.020","33.020","33.020","33.020","0.01%"
"Aug 06, 2020","33.017","33.017","33.017","33.017","-0.05%"
"Aug 05, 2020","33.035","33.035","33.035","33.035","0.02%"
"Aug 04, 2020","33.027","33.027","33.027","33.027","0.03%"
"Aug 03, 2020","33.018","33.018","33.018","33.018","0.03%"
"Jul 31, 2020","33.007","33.007","33.007","33.007","0.09%"
"Jul 30, 2020","32.979","32.979","32.979","32.979","0.03%"
"Jul 29, 2020","32.967","32.967","32.967","32.967","0.03%"
"Jul 28, 2020","32.956","32.956","32.956","32.956","-0.04%"
"Jul 27, 2020","32.970","32.970","32.970","32.970","-0.01%"
"Jul 24, 2020","32.974","32.974","32.974","32.974","0.01%"
"Jul 23, 2020","32.971","32.971","32.971","32.971","0.03%"
"Jul 22, 2020","32.962","32.962","32.962","32.962","-0.04%"
"Jul 21, 2020","32.974","32.974","32.974","32.974","-0.01%"
"Jul 20, 2020","32.979","32.979","32.979","32.979","0.05%"
"Jul 17, 2020","32.963","32.963","32.963","32.963","0.02%"
"Jul 16, 2020","32.957","32.957","32.957","32.957","0.04%"
"Jul 15, 2020","32.945","32.945","32.945","32.945","0.12%"
"Jul 14, 2020","32.905","32.905","32.905","32.905","-0.03%"
"Jul 13, 2020","32.914","32.914","32.914","32.914","0.05%"
"Jul 10, 2020","32.898","32.898","32.898","32.898","0.22%"
"Jul 09, 2020","32.827","32.827","32.827","32.827","0.07%"
"Jul 08, 2020","32.805","32.805","32.805","32.805","0.07%"
"Jul 07, 2020","32.781","32.781","32.781","32.781","0.16%"
"Jul 06, 2020","32.728","32.728","32.728","32.728","0.09%"
"Jul 03, 2020","32.700","32.700","32.700","32.700","0.09%"
"Jul 02, 2020","32.671","32.671","32.671","32.671","0.10%"
"Jul 01, 2020","32.637","32.637","32.637","32.637","0.09%"
"Jun 30, 2020","32.608","32.608","32.608","32.608","0.06%"
"Jun 29, 2020","32.588","32.588","32.588","32.588","0.11%"
"Jun 26, 2020","32.551","32.551","32.551","32.551","0.09%"
"Jun 25, 2020","32.522","32.522","32.522","32.522","0.09%"
"Jun 24, 2020","32.493","32.493","32.493","32.493","0.05%"
"Jun 23, 2020","32.477","32.477","32.477","32.477","0.08%"
"Jun 22, 2020","32.452","32.452","32.452","32.452","0.11%"
"Jun 19, 2020","32.416","32.416","32.416","32.416","0.19%"
"Jun 18, 2020","32.356","32.356","32.356","32.356","0.17%"
"Jun 17, 2020","32.299","32.299","32.299","32.299","0.09%"
"Jun 16, 2020","32.270","32.270","32.270","32.270","0.10%"
"Jun 15, 2020","32.237","32.237","32.237","32.237","0.11%"
"Jun 12, 2020","32.203","32.203","32.203","32.203","-0.02%"
"Jun 11, 2020","32.210","32.210","32.210","32.210","0.07%"
"Jun 10, 2020","32.189","32.189","32.189","32.189","-0.07%"
"Jun 09, 2020","32.212","32.212","32.212","32.212","0.07%"
"Jun 08, 2020","32.190","32.190","32.190","32.190","0.07%"
"Jun 05, 2020","32.169","32.169","32.169","32.169","0.05%"
"Jun 04, 2020","32.153","32.153","32.153","32.153","-0.03%"
"Jun 03, 2020","32.161","32.161","32.161","32.161","0.04%"
"Jun 02, 2020","32.150","32.150","32.150","32.150","-0.02%"
"Jun 01, 2020","32.155","32.155","32.155","32.155","0.02%"
"May 29, 2020","32.150","32.150","32.150","32.150","-0.01%"
"May 28, 2020","32.152","32.152","32.152","32.152","-0.00%"
"May 27, 2020","32.154","32.153","32.153","32.153","0.01%"
"May 26, 2020","32.152","32.152","32.152","32.152","0.09%"
"May 25, 2020","32.124","32.124","32.124","32.124","0.00%"
"May 22, 2020","32.124","32.124","32.124","32.124","0.28%"
"May 21, 2020","32.034","32.034","32.034","32.034","0.16%"
"May 20, 2020","31.982","31.982","31.982","31.982","0.10%"
