"Date","Price","Open","High","Low","Change %"
"Mar 18, 2020","2,120.164","2,120.164","2,120.164","2,120.164","-0.10%"
"Mar 17, 2020","2,122.341","2,122.341","2,122.341","2,122.341","-0.04%"
"Mar 16, 2020","2,123.214","2,123.214","2,123.214","2,123.214","0.04%"
"Mar 13, 2020","2,122.462","2,122.462","2,122.462","2,122.462","-0.05%"
"Mar 12, 2020","2,123.487","2,123.487","2,123.487","2,123.487","-0.08%"
"Mar 11, 2020","2,125.162","2,125.162","2,125.162","2,125.162","0.01%"
"Mar 09, 2020","2,124.860","2,124.860","2,124.860","2,124.860","0.02%"
"Mar 06, 2020","2,124.450","2,124.450","2,124.450","2,124.450","-0.01%"
"Mar 05, 2020","2,124.711","2,124.711","2,124.711","2,124.711","0.02%"
"Mar 04, 2020","2,124.332","2,124.332","2,124.332","2,124.332","0.05%"
"Mar 03, 2020","2,123.234","2,123.234","2,123.234","2,123.234","0.01%"
"Mar 02, 2020","2,122.989","2,122.989","2,122.989","2,122.989","0.03%"
"Feb 28, 2020","2,122.383","2,122.383","2,122.383","2,122.383","-0.01%"
"Feb 27, 2020","2,122.688","2,122.688","2,122.688","2,122.688","0.02%"
"Feb 26, 2020","2,122.322","2,122.322","2,122.322","2,122.322","0.02%"
"Feb 25, 2020","2,121.798","2,121.798","2,121.798","2,121.798","0.01%"
"Feb 24, 2020","2,121.611","2,121.611","2,121.611","2,121.611","0.04%"
"Feb 20, 2020","2,120.861","2,120.861","2,120.861","2,120.861","-0.00%"
"Feb 18, 2020","2,120.886","2,120.886","2,120.886","2,120.886","-0.00%"
"Feb 17, 2020","2,120.931","2,120.931","2,120.931","2,120.931","0.04%"
"Feb 14, 2020","2,120.183","2,120.183","2,120.183","2,120.183","0.02%"
"Feb 13, 2020","2,119.704","2,119.704","2,119.704","2,119.704","0.01%"
"Feb 12, 2020","2,119.429","2,119.429","2,119.429","2,119.429","0.01%"
"Feb 11, 2020","2,119.168","2,119.168","2,119.168","2,119.168","0.00%"
"Feb 10, 2020","2,119.154","2,119.154","2,119.154","2,119.154","0.04%"
"Feb 07, 2020","2,118.300","2,118.300","2,118.300","2,118.300","0.03%"
"Feb 06, 2020","2,117.579","2,117.579","2,117.579","2,117.579","0.06%"
"Feb 05, 2020","2,116.305","2,116.305","2,116.305","2,116.305","0.02%"
"Feb 04, 2020","2,115.897","2,115.897","2,115.897","2,115.897","0.02%"
"Feb 03, 2020","2,115.527","2,115.527","2,115.527","2,115.527","0.05%"
"Jan 31, 2020","2,114.442","2,114.442","2,114.442","2,114.442","0.01%"
"Jan 30, 2020","2,114.294","2,114.294","2,114.294","2,114.294","0.02%"
"Jan 29, 2020","2,113.907","2,113.907","2,113.907","2,113.907","-0.00%"
"Jan 28, 2020","2,114.003","2,114.003","2,114.003","2,114.003","0.02%"
"Jan 27, 2020","2,113.547","2,113.547","2,113.547","2,113.547","0.04%"
"Jan 24, 2020","2,112.766","2,112.766","2,112.766","2,112.766","0.02%"
"Jan 23, 2020","2,112.279","2,112.279","2,112.279","2,112.279","0.01%"
"Jan 22, 2020","2,112.017","2,112.017","2,112.017","2,112.017","0.02%"
"Jan 21, 2020","2,111.571","2,111.571","2,111.571","2,111.571","0.02%"
"Jan 20, 2020","2,111.229","2,111.229","2,111.229","2,111.229","0.04%"
"Jan 17, 2020","2,110.393","2,110.393","2,110.393","2,110.393","0.01%"
"Jan 16, 2020","2,110.094","2,110.094","2,110.094","2,110.094","0.02%"
"Jan 15, 2020","2,109.765","2,109.765","2,109.765","2,109.765","0.01%"
"Jan 14, 2020","2,109.538","2,109.538","2,109.538","2,109.538","0.01%"
"Jan 13, 2020","2,109.426","2,109.426","2,109.426","2,109.426","0.03%"
"Jan 10, 2020","2,108.705","2,108.705","2,108.705","2,108.705","0.00%"
"Jan 09, 2020","2,108.698","2,108.698","2,108.698","2,108.698","0.02%"
"Jan 08, 2020","2,108.307","2,108.307","2,108.307","2,108.307","0.02%"
"Jan 07, 2020","2,107.990","2,107.990","2,107.990","2,107.990","0.00%"
"Jan 06, 2020","2,107.984","2,107.984","2,107.984","2,107.984","0.03%"
"Jan 03, 2020","2,107.308","2,107.308","2,107.308","2,107.308","0.02%"
"Jan 02, 2020","2,106.847","2,106.847","2,106.847","2,106.847","0.02%"
"Jan 01, 2020","2,106.345","2,106.345","2,106.345","2,106.345","0.02%"
"Dec 31, 2019","2,105.961","2,105.961","2,105.961","2,105.961","0.02%"
"Dec 30, 2019","2,105.624","2,105.624","2,105.624","2,105.624","0.03%"
"Dec 27, 2019","2,104.893","2,104.893","2,104.893","2,104.893","0.01%"
"Dec 26, 2019","2,104.615","2,104.615","2,104.615","2,104.615","0.01%"
"Dec 24, 2019","2,104.334","2,104.334","2,104.334","2,104.334","0.01%"
"Dec 23, 2019","2,104.204","2,104.204","2,104.204","2,104.204","0.03%"
"Dec 20, 2019","2,103.496","2,103.496","2,103.496","2,103.496","0.01%"
"Dec 19, 2019","2,103.203","2,103.203","2,103.203","2,103.203","0.01%"
"Dec 18, 2019","2,103.081","2,103.081","2,103.081","2,103.081","0.03%"
"Dec 17, 2019","2,102.429","2,102.429","2,102.429","2,102.429","0.02%"
"Dec 16, 2019","2,102.076","2,102.076","2,102.076","2,102.076","0.03%"
"Dec 13, 2019","2,101.460","2,101.460","2,101.460","2,101.460","0.00%"
"Dec 12, 2019","2,101.388","2,101.388","2,101.388","2,101.388","0.01%"
"Dec 11, 2019","2,101.077","2,101.077","2,101.077","2,101.077","-0.00%"
"Dec 10, 2019","2,101.125","2,101.125","2,101.125","2,101.125","0.02%"
"Dec 09, 2019","2,100.657","2,100.657","2,100.657","2,100.657","0.02%"
"Dec 06, 2019","2,100.212","2,100.212","2,100.212","2,100.212","0.00%"
"Dec 05, 2019","2,100.145","2,100.145","2,100.145","2,100.145","-0.02%"
"Dec 04, 2019","2,100.633","2,100.633","2,100.633","2,100.633","0.01%"
